cpuUsage,memoryUsage,userName,poolName,dayOfTheWeek,hourOfTheDay
648,1410,Balrog,IndiaMarketing,Monday,16
1531,623,Gandalf,APACPreSales,Thursday,4
1687,1936,Frodo,IndiaMarketing,Tuesday,10
1731,1152,Samwise,APACPreSales,Wednesday,14
863,1859,Saruman,IndiaMarketing,Monday,6
2808,778,Bilbo,APACPreSales,Monday,1
2736,1946,Thorin,IndiaMarketing,Friday,21
2714,1418,Balin,APACPreSales,Monday,9
1781,1056,Balrog,IndiaMarketing,Thursday,9
2696,1106,Gandalf,APACPreSales,Tuesday,13
782,1675,Frodo,IndiaMarketing,Wednesday,3
1812,538,Balrog,APACPreSales,Monday,10
2362,1012,Gandalf,IndiaMarketing,Monday,6
1164,1687,Frodo,APACPreSales,Friday,1
1462,1708,Samwise,IndiaMarketing,Monday,5
1947,1979,Saruman,APACPreSales,Thursday,6
2640,1504,Bilbo,IndiaMarketing,Tuesday,18
772,1619,Thorin,APACPreSales,Wednesday,10
2721,1848,Balin,IndiaMarketing,Monday,22
1099,726,Balrog,APACPreSales,Monday,14
2886,1516,Gandalf,IndiaMarketing,Friday,21
1420,1749,Frodo,APACPreSales,Monday,2
1521,2024,Balrog,IndiaMarketing,Thursday,12
1923,766,Gandalf,APACPreSales,Tuesday,16
1888,942,Frodo,IndiaMarketing,Wednesday,18
1017,1270,Samwise,APACPreSales,Monday,7
1012,900,Saruman,IndiaMarketing,Monday,23
926,1407,Bilbo,APACPreSales,Friday,5
2348,950,Thorin,IndiaMarketing,Monday,8
971,878,Balin,APACPreSales,Thursday,12
2038,1358,Balrog,IndiaMarketing,Tuesday,18
1072,1174,Gandalf,APACPreSales,Wednesday,5
1064,1435,Frodo,IndiaMarketing,Monday,20
1781,1433,Balrog,APACPreSales,Monday,9
2625,1219,Gandalf,IndiaMarketing,Friday,10
1325,590,Frodo,APACPreSales,Monday,4
909,1517,Samwise,IndiaMarketing,Thursday,2
1557,1241,Saruman,APACPreSales,Tuesday,13
2263,1587,Bilbo,IndiaMarketing,Wednesday,9
914,979,Thorin,APACPreSales,Monday,13
2811,1589,Balin,IndiaMarketing,Monday,10
1406,1170,Balrog,APACPreSales,Friday,8
2284,944,Gandalf,IndiaMarketing,Monday,16
2360,931,Frodo,APACPreSales,Thursday,10
2346,946,Balrog,IndiaMarketing,Tuesday,1
526,1341,Gandalf,APACPreSales,Wednesday,8
2804,1539,Frodo,IndiaMarketing,Monday,5
2257,762,Samwise,APACPreSales,Monday,11
2114,613,Saruman,IndiaMarketing,Friday,13
2515,1583,Bilbo,APACPreSales,Monday,2
1920,556,Thorin,IndiaMarketing,Thursday,16
2648,1197,Balin,APACPreSales,Tuesday,7
2768,984,Balrog,IndiaMarketing,Wednesday,2
1186,1964,Gandalf,APACPreSales,Monday,23
2683,875,Frodo,IndiaMarketing,Monday,10
564,1977,Balrog,APACPreSales,Friday,18
2718,1074,Gandalf,IndiaMarketing,Monday,23
2650,649,Frodo,APACPreSales,Thursday,7
468,1604,Samwise,IndiaMarketing,Tuesday,8
1911,708,Saruman,APACPreSales,Wednesday,20
2944,668,Bilbo,IndiaMarketing,Monday,12
1933,1572,Thorin,APACPreSales,Monday,14
2908,897,Balin,IndiaMarketing,Friday,4
2350,1036,Balrog,APACPreSales,Monday,11
1574,865,Gandalf,IndiaMarketing,Thursday,12
1405,1617,Frodo,APACPreSales,Tuesday,1
722,1013,Balrog,IndiaMarketing,Wednesday,11
2074,1122,Gandalf,APACPreSales,Monday,14
1906,1896,Frodo,IndiaMarketing,Monday,0
2010,1667,Samwise,APACPreSales,Friday,13
827,1463,Saruman,IndiaMarketing,Monday,19
1044,761,Bilbo,APACPreSales,Thursday,4
2103,1981,Thorin,IndiaMarketing,Tuesday,5
351,1392,Balin,APACPreSales,Wednesday,18
560,1968,Balrog,IndiaMarketing,Monday,4
1044,1083,Gandalf,APACPreSales,Monday,16
1576,1790,Frodo,IndiaMarketing,Friday,11
1179,1851,Balrog,APACPreSales,Monday,2
2368,1801,Gandalf,IndiaMarketing,Thursday,10
1665,1839,Frodo,APACPreSales,Tuesday,5
2897,782,Samwise,IndiaMarketing,Wednesday,9
1734,1828,Saruman,APACPreSales,Monday,4
2575,1046,Bilbo,IndiaMarketing,Monday,5
